ID,TYPE,MATERIAL,OWNER,POINT,Neighbourhood Boundaries : 2019,Roadway Maintenance Area Polygon,"Edmonton Public School Board (EPSB) Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)","Edmonton Catholic School District Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)","City of Edmonton - Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)"
31932,Basketball Net,Metal,Parks,POINT (-113.52568781511103 53.61611890730029),190,122,1,1,6
484435,Basketball Net,Metal,School Board,POINT (-113.41180772309835 53.58712609116932),233,29,2,3,7
524756,Skateboard Fixture,Metal,Parks,POINT (-113.4133867829797 53.54898615983995),239,30,4,5,11
593940,Basketball Net,Metal,Parks,POINT (-113.5736670645158 53.44657402935908),372,88,8,6,12
31744,Funnel ball,Plastic,Parks,POINT (-113.43534077711008 53.572310834035484),226,174,4,3,10
528203,Home plate,Plastic,Parks,POINT (-113.44978026847028 53.60689873482472),167,166,2,3,6
32010,Basketball Net,Metal,Parks,POINT (-113.51380126441003 53.59240026350739),37,224,1,2,5
437485,Other,Metal,Parks,POINT (-113.4429166372995 53.4551689645902),55,238,9,7,3
523570,Basketball Net,Metal,School Board,POINT (-113.42924771904546 53.54789918977868),67,103,4,5,11
31768,Net Post,Metal,Parks,POINT (-113.39264014473801 53.561749399760934),232,176,4,3,10
527709,Net Post,Metal,Parks,POINT (-113.43586232051433 53.52355232407229),266,75,7,5,11
532430,Home plate,Plastic,Parks,POINT (-113.43949645160802 53.53375426807155),23,123,7,5,11
31860,Funnel ball,Unknown,School Board,POINT (-113.60848075258725 53.526755177709084),92,93,5,4,1
459916,Outdoor Exercise Equipment,Metal,Parks,POINT (-113.5421589689783 53.49958933300334),277,185,6,5,2
518013,Home plate,Plastic,Parks,POINT (-113.62435122521043 53.50806711679342),60,97,5,4,8
31639,Basketball Net,Metal,Parks,POINT (-113.44265345690901 53.46117176015572),53,56,9,7,3
344880,Home plate,Plastic,Parks,POINT (-113.48302436056373 53.60438823049225),2,161,1,2,10
